"client","frequency","recency","monetary"
4712,3,12,914.729993321
4711,2,10,910.84999282
4710,2,346,906.130021188
4709,2,19,902.67999743
4708,3,80,902.42999362
4707,4,59,901.830005616
4706,5,110,896.550008739
4705,8,55,895.92999835
4704,2,136,894.819996716
4703,8,7,885.61000822
4702,6,3,880.650005332
4701,1,168,879.720003
4700,1,60,879.28000996
4699,1,189,878.96998226
4698,1,203,876.400002509
4697,7,16,874.189995305
4696,3,144,872.980002265
4695,2,82,872.749998462
4694,1,196,865.40002057
4693,17,179,848.520000109
4692,5,78,848.27999303
4691,1,5,846.630005121
4690,1,178,844.13999546
4689,4,90,838.73000907
4688,5,47,835.47999185
4687,2,84,833.63998409
4686,2,177,831.98998641
4685,3,2,829.819994917
4684,2,81,827.36998541
4683,15,18,823.109988621
4682,2,257,822.99999716
4681,2,213,822.47999948
4680,7,52,820.91000746
4679,1,10,819.550008771
4678,1,223,815.38999175
4677,1,227,805.46999937
4676,4,2,803.08999252
4675,2,62,800.13998416
4674,6,5,798.1300068
4673,8,79,794.5500033
4672,2,87,793.73001031
4671,2,63,793.66999433
4670,2,24,791.13999987
4669,2,333,785.399987726
4668,2,112,782.80000113
4667,2,275,779.25
4666,7,62,777.9100008
4665,2,99,775.870011847
4664,11,4,775.459992877
4663,3,135,774.10999869
4662,5,54,773.210000983
4661,2,63,773.1000061
4660,5,78,772.27000426
4659,7,68,771.9099903
4658,1,168,771.83998493
4657,4,64,770.07999614
4656,2,116,767.77999687
4655,10,67,766.199995975
4654,1,6,764.97000266
4653,5,139,764.159991177
4652,2,71,763.34000398
4651,3,82,761.59999658
4650,1,313,761.059981314
4649,5,121,756.49999236
4648,1,157,755.41999436
4647,4,62,752.88000297
4646,6,30,751.620001303
4645,1,199,751.49999247
4644,1,251,751.209997184
4643,2,185,749.859990589
4642,7,27,746.099994646
4641,2,102,742.760013115
4640,1,75,741.00999061
4639,1,234,740.35000043
4638,2,8,738.640008101
4637,6,57,738.15000725
4636,4,166,737.940003175
4635,7,13,735.789998986
4634,3,135,734.42999361
4633,1,206,734.180017613
4632,3,12,733.48999975
4631,2,194,733.10998716
4630,3,72,731.71001531
4629,2,214,729.49000548
4628,1,154,729.010003097
4627,2,81,728.539992798
4626,4,169,728.179992661
4625,2,192,727.53000837
4624,5,24,726.580003027
4623,1,332,726.09998699
4622,3,120,717.60000038
4621,5,143,711.650002472
4620,2,14,710.410021231
4619,1,151,710.10998905
4618,21,3,709.609994287
4617,6,25,705.16999435
4616,1,306,704.6099853
4615,1,153,703.459981997
4614,11,35,699.729995859
4613,5,38,699.30999278
4612,1,128,695.96999161
4611,2,80,695.399997318
4610,4,141,695.31999113
4609,6,87,692.539995679
4608,8,14,692.070000108
4607,2,208,690.85998143
4606,3,133,689.87999152
4605,4,10,689.52999976
4604,4,51,686.0100002
4603,6,74,685.140005082
4602,2,204,683.620010375
4601,4,119,681.89999198
4600,6,25,677.77999686
4599,1,204,677.30999943
4598,4,175,674.79001609
4597,1,260,673.9199982
4596,1,223,673.19000238
4595,4,15,672.690002217
4594,5,13,672.61999511
4593,3,85,669.17998693
4592,5,147,668.90000343
4591,7,9,667.63000108
4590,1,14,666.6499959
4589,1,292,664.36001591
4588,2,54,662.58999439
4587,1,265,662.40999217
4586,3,22,661.28999709
4585,1,237,660.57000728
4584,5,82,659.249994743
4583,4,183,658.91000374
4582,1,194,655.62001653
4581,3,86,655.60999491
4580,14,14,653.200006037
4579,4,82,651.97000493
4578,1,292,651.55001453
4577,1,278,651.3600159
4576,4,90,650.950008879
4575,11,17,650.600004989
4574,4,195,648.0000038
4573,1,189,645.68999862
4572,1,69,638.86000061
4571,2,21,638.54999638
4570,2,200,638.34000017
4569,3,126,637.33000175
4568,4,73,636.95999719
4567,4,53,635.279994562
4566,6,141,635.2300014
4565,1,255,635.13000101
4564,3,162,634.24999809
4563,3,17,633.89999579
4562,2,11,632.43999861
4561,2,171,630.96999547
4560,7,5,630.90999984
4559,3,61,630.49999237
4558,1,262,629.43999288
4557,7,72,628.62998868
4556,1,203,627.83000557
4555,4,76,625.23000712
4554,4,59,625.039992812
4553,1,73,622.14000321
4552,1,184,621.470002168
4551,1,217,621.32001502
4550,4,60,620.590007776
4549,2,27,620.12000084
4548,2,107,619.18000029
4547,2,91,618.9299955
4546,7,64,618.13999273
4545,8,5,614.66999626
4544,1,106,609.53999706
4543,3,35,608.31999209
4542,1,179,607.97000115
4541,4,171,607.67999839
4540,8,6,607.560002818
4539,1,238,606.60001572
4538,2,268,606.14999392
4537,1,189,604.97999955
4536,4,63,602.819998516
4535,1,208,602.419988966
4534,1,59,601.9700031
4533,3,5,599.39000034
4532,2,2,599.20999239
4531,2,234,598.640006534
4530,1,56,597.42999648
4529,4,4,596.05999918
4528,2,57,594.09999655
4527,2,124,592.00000667
4526,7,75,589.579994198
4525,2,129,589.41999059
4524,2,133,583.149997437
4523,2,73,581.48000714
4522,2,45,581.23000527
4521,5,119,580.19000816
4520,3,117,579.55001068
4519,1,343,578.500008187
4518,8,10,578.279994971
4517,2,102,577.849998491
4516,3,52,577.36999702
4515,2,141,577.109993444
4514,1,85,575.50000225
4513,5,14,575.28998566
4512,1,81,574.16000366
4511,2,100,571.019991874
4510,2,71,569.170007358
4509,4,94,567.659987429
4508,1,177,566.759992138
4507,2,31,566.73999038
4506,2,63,565.93000412
4505,2,80,565.789999012
4504,2,113,564.38999745
4503,5,77,563.27000714
4502,4,62,563.119984861
4501,5,56,563.08998679
4500,1,204,562.9999924
4499,1,210,561.350000851
4498,1,194,560.70999907
4497,5,28,560.65000367
4496,1,131,558.60000419
4495,2,144,555.300004009
4494,2,3,553.77999498
4493,1,218,552.9099989
4492,3,171,552.39000415
4491,2,48,551.949991229
4490,2,211,549.929992659
4489,4,69,549.85000414
4488,1,227,548.790016674
4487,1,356,546.43000026
4486,1,290,546.01999855
4485,1,176,544.97000117
4484,5,27,543.02999591
4483,2,4,540.70999527
4482,4,102,540.639994623
4481,2,18,539.249996786
4480,15,18,537.309999359
4479,7,19,535.47999763
4478,2,63,534.90999793
4477,5,139,533.189997681
4476,1,89,533.04000834
4475,2,126,532.97999572
4474,2,223,532.97000694
4473,1,277,532.049995414
4472,1,212,531.329992256
4471,2,55,530.94998181
4470,2,80,530.62999726
4469,3,125,530.069995871
4468,5,94,528.71000673
4467,1,218,528.03998759
4466,3,3,527.97999739
4465,2,121,524.67999449
4464,2,12,524.56998447
4463,2,68,523.910002947
4462,1,240,523.35999099
4461,1,129,521.92998875
4460,4,162,520.37000849
4459,2,204,517.93000031
4458,1,72,513.48000336
4457,1,257,513.15999595
4456,12,64,512.87999979
4455,1,9,512.809995148
4454,1,209,512.23000337
4453,7,29,510.549999712
4452,2,179,510.369985579
4451,6,202,509.649997236
4450,2,73,508.00999451
4449,2,79,507.87998577
4448,1,22,506.940001238
4447,1,203,505.3399964
4446,3,6,504.480001325
4445,1,19,503.4599936
4444,1,168,502.97000504
4443,2,67,501.99999811
4442,1,76,500.30998612
4441,2,85,498.880009415
4440,2,198,497.9600029
4439,1,87,495.4600029
4438,3,64,494.270001881
4437,2,4,493.90000343
4436,7,18,492.38000488
4435,1,343,491.99999623
4434,2,80,491.20999527
4433,1,75,489.27000044
4432,1,311,488.1600036
4431,1,157,488.07999801
4430,3,70,487.2400074
4429,3,164,486.71999931
4428,5,49,485.72999382
4427,3,105,483.01000214
4426,1,244,482.629994408
4425,1,4,481.80999374
4424,1,15,480.84000786
4423,5,144,480.29999159
4422,1,55,480.0399971
4421,1,33,479.03999828
4420,2,125,479.03999519
4419,3,134,478.679999592
4418,1,248,478.10000038
4417,2,5,477.07999802
4416,1,142,476.639993653
4415,7,25,473.449994082
4414,1,73,473.14000226
4413,2,194,472.560000773
4412,2,79,471.73999786
4411,1,281,471.61999321
4410,2,76,470.81999777
4409,1,302,469.74000646
4408,1,194,469.59000015
4407,4,68,469.43999482
4406,3,148,469.07999612
4405,3,13,466.67999457
4404,1,319,466.36000442
4403,9,37,465.469998116
4402,4,11,465.22999764
4401,3,83,464.8500061
4400,2,230,464.849991251
4399,2,71,460.809995781
4398,3,20,460.54000282
4397,1,62,460.29000318
4396,2,115,459.38999748
4395,2,89,459.22999763
4394,1,203,458.5599976
4393,2,144,457.69999984
4392,4,95,457.660001519
4391,3,27,456.399998888
4390,1,52,455.94999122
4389,1,321,454.70999901
4388,2,103,454.57999801
4387,4,59,454.3600006
4386,3,2,453.28000456
4385,6,60,452.12000464
4384,3,57,452.049995418
4383,3,64,451.82000065
4382,2,84,451.46000286
4381,2,290,451.200004085
4380,1,94,450.1199951
4379,4,72,446.42999459
4378,6,34,445.979999841
4377,1,15,445.93000611
4376,3,16,445.3599968
4375,1,30,443.34001923
4374,4,4,443.04000282
4373,15,1,441.890000747
4372,1,269,441.770004277
4371,2,317,441.75000383
4370,1,163,441.69000625
4369,1,85,440.42000397
4368,6,24,439.330006362
4367,1,240,438.52999494
4366,2,193,436.89000273
4365,3,7,436.59999847
4364,1,86,435.6099987
4363,1,203,434.190004337
4362,4,52,432.530007738
4361,4,28,431.86999702
4360,2,244,431.49000559
4359,1,10,431.36999702
4358,1,241,431.31000523
4357,1,203,427.639998426
4356,2,171,426.08000375
4355,2,87,425.79000855
4354,5,71,424.65999842
4353,2,139,423.98000336
4352,7,22,422.979999045
4351,1,62,422.85000229
4350,3,21,422.740001546
4349,4,115,422.169986777
4348,3,107,421.659997935
4347,2,50,421.48999213
4346,2,190,421.40999983
4345,1,82,421.27999107
4344,2,268,421.02999496
4343,1,194,421.009995223
4342,1,190,420.89001076
4341,1,194,420.35000225
4340,1,176,420.32998658
4339,1,59,419.52000426
4338,4,28,419.100005758
4337,2,160,419.03999128
4336,1,241,418.4499979
4335,2,135,418.269996168
4334,2,13,418.23999786
4333,1,196,418.029996405
4332,4,49,417.25999831
4331,4,60,416.1700039
4330,3,166,415.96999359
4329,1,22,415.899998717
4328,1,92,415.88000107
4327,2,207,415.770001905
4326,1,219,415.2800141
4325,1,260,414.64000711
4324,6,1,413.11000061
4323,3,59,412.77000236
4322,3,23,412.32999419
4321,1,15,412.27999878
4320,2,27,411.04999635
4319,2,121,410.9099998
4318,5,74,410.65999794
4317,1,129,410.27999877
4316,1,227,409.99999997
4315,4,125,409.76999855
4314,3,16,409.01999282
4313,4,230,408.68999291
4312,2,10,408.500000657
4311,3,142,408.48999406
4310,1,55,407.56999797
4309,6,31,407.390002248
4308,25,13,407.389996881
4307,2,187,407.27999877
4306,2,109,406.45999908
4305,3,128,406.339999668
4304,3,76,405.679999105
4303,3,122,405.58999253
4302,1,89,405.06998816
4301,1,202,404.779993092
4300,1,201,404.569992111
4299,1,61,403.86999122
4298,3,81,403.54000759
4297,3,72,402.49998854
4296,2,21,401.86999892
4295,1,305,400.88000107
4294,2,234,400.76999857
4293,5,153,400.74999616
4292,2,52,400.409996985
4291,4,79,399.69999885
4290,1,112,399.410000328
4289,2,174,399.17999933
4288,1,217,398.23999977
4287,1,280,397.4399967
4286,2,73,397.33000184
4285,2,216,397.290001385
4284,1,170,396.7200165
4283,1,79,396.149998671
4282,2,116,396.04000093
4281,1,145,395.639992235
4280,1,74,395.600001335
4279,1,61,395.59000588
4278,3,70,394.81999779
4277,1,194,393.94999699
4276,1,202,393.32000351
4275,1,6,392.91999816
4274,1,244,392.58999257
4273,1,64,392.26998516
4272,3,78,391.5399971
4271,4,82,391.51000022
4270,2,18,391.29000093
4269,2,193,391.27999877
4268,1,305,391.17999648
4267,1,203,390.87001038
4266,2,54,390.64999771
4265,5,2,390.45000076
4264,1,185,390.149994838
4263,6,132,389.15999985
4262,1,193,388.26999283
4261,14,2,388.019997355
4260,4,144,387.89999581
4259,1,323,387.470005751
4258,1,251,386.96000677
4257,1,68,386.56999588
4256,1,10,386.16000181
4255,2,208,385.90000534
4254,1,10,385.82999802
4253,3,83,385.53000069
4252,2,25,385.149996744
4251,3,212,385.10000038
4250,2,169,384.79999924
4249,2,47,384.04000091
4248,2,207,383.79999923
4247,2,202,383.17000198
4246,4,57,383.13999939
4245,4,183,382.90999793
4244,2,16,381.69999313
4243,1,215,381.6900102
4242,6,10,381.17000199
4241,3,125,381.079997072
4240,4,121,381.04999542
4238,1,56,380.9999847
4239,1,110,380.9999847
4237,3,80,380.96999167
4236,1,142,380.88999939
4235,1,137,380.720010986
4234,3,139,380.11999701
4233,2,209,378.47999955
4232,2,121,378.189993606
4231,2,4,377.95999908
4230,1,102,377.16999816
4229,1,209,377.1499958
4228,5,77,376.639990851
4227,2,20,376.32999417
4226,1,144,376.1199952
4225,2,27,375.91000367
4224,3,198,374.55999757
4223,7,20,374.200000763
4222,1,61,373.40999981
4221,9,46,372.579996575
4220,2,9,371.99999998
4219,2,227,371.650000085
4218,1,292,371.20999717
4217,2,53,371.07999992
4216,1,72,370.48999976
4215,4,44,370
4214,2,126,369.929994578
4213,2,6,369.160000968
4212,1,168,368.82001115
4211,1,195,368.54999533
4210,1,287,368.09999848
4209,2,248,368.02000522
4208,4,233,367.90999508
4207,1,163,367.38999557
4206,1,325,367.36999704
4205,2,148,366.88999942
4204,3,116,366.69000054
4203,2,83,365.66999434
4202,3,139,365.31000514
4201,6,63,364.62999917
4200,1,64,364.52000428
4199,3,124,363.46998787
4198,1,102,363.41999626
4197,1,4,361.840003718
4196,1,192,361.73000727
4195,2,123,361.06999492
4194,3,94,360.689995751
4193,1,253,360.040002845
4192,4,70,359.8899994
4191,1,88,359.45000456
4190,1,46,358.98999978
4189,3,13,357.76999663
4188,4,21,357.580004203
4187,8,13,357.450000276
4186,2,108,356.45999517
4185,3,193,356.1499977
4184,2,200,355.740007005
4183,2,226,355.680003046
4182,1,131,355.489995957
4181,1,159,355.36999122
4180,1,179,354.780000687
4179,1,82,353.35000227
4178,3,74,352.96999358
4177,7,20,352.890001656
4176,1,304,352.469997399
4175,8,146,352.03999711
4174,2,120,351.0799961
4173,4,37,350.79999543
4172,1,224,350.78999709
4171,6,86,350.50000096
4170,1,85,350.49999233
4169,1,88,350.26999282
4168,1,258,349.349997045
4167,2,135,348.509993778
4166,4,85,348.319997795
4165,2,133,347.98999594
4164,1,7,347.56999969
4163,1,339,347.49999433
4162,4,102,347.409992224
4161,1,286,346.34000206
4160,5,75,346.32999997
4159,2,170,346.28999712
4158,1,87,345.93000213
4157,2,50,345.91999817
4156,1,172,345.73999023
4155,2,64,344.980000978
4154,2,11,344.91999816
4153,1,10,344.55999571
4152,3,24,343.66999817
4151,2,155,343.4299984
4150,4,55,343.36000062
4149,1,184,342.95000648
4148,1,303,342.70000361
4147,3,205,342.30999757
4146,2,114,341.899998552
4145,2,206,341.86999512
4144,3,24,341.86000157
4143,1,128,341.53999716
4142,6,10,340.979999781
4141,3,87,340.62999917
4140,2,14,339.86999511
4139,2,195,339.6800003
4138,4,51,339.230001446
4137,2,201,338.95000076
4136,2,1,338.92999277
4135,3,80,338.559996613
4134,2,170,338.4399996
4133,2,13,338.13999558
4132,1,188,337.48000338
4131,4,40,336.559997198
4130,1,10,335.94000053
4129,1,239,335.88000687
4128,3,103,335.81999588
4127,1,355,335.68999485
4126,2,142,334.29999924
4125,1,267,334.04999734
4124,2,184,333.829998499
4123,5,28,333.169995658
4122,3,3,333.04000567
4121,1,274,332.700007427
4120,1,257,331.85999288
4119,2,190,331.63999557
4118,2,31,330.93999671
4117,1,203,330.25000002
4116,1,246,330.249999986
4115,3,87,330.099994664
4114,1,202,329.59000015
4113,1,68,329.24999236
4112,2,164,329.17999648
4111,4,73,329.04000187
4110,2,10,328.73999787
4109,1,200,327.70000196
4108,1,309,327.64999771
4107,1,202,327.6400146
4106,2,5,327.31999969
4105,2,146,327.250001908
4104,1,194,327.21999741
4103,4,133,326.94001008
4102,1,199,326.90999509
4101,1,192,326.87000665
4100,1,82,326.659996386
4099,4,136,326.459992404
4098,2,167,326.370001436
4097,4,91,326.22000028
4096,3,156,326.10999966
4095,1,196,326.01999854
4094,1,157,325.8299942
4093,3,361,325.56000137
4092,2,156,325.15999603
4091,2,3,324.63999939
4090,1,254,324.35000228
4089,1,78,324.0000153
4088,6,4,323.8199997
4087,3,7,323.80999565
4086,1,106,323.75000191
4085,1,230,323.60000229
4084,2,76,323.21000481
4083,1,249,323.12999916
4082,2,93,322.47000121
4081,2,51,322.07000352
4080,1,352,321.78999328
4079,2,13,321.4899969
4078,3,237,321.479996219
4077,3,11,321.369998578
4076,3,107,321.35000038
4075,5,118,321.109998226
4074,1,240,320.68999291
4073,2,46,320.16999815
4072,2,196,319.73000432
4071,4,57,319.289998058
4070,2,152,318.87999539
4069,4,17,318.789997574
4068,1,27,318.77000046
4067,2,203,318.489992871
4066,1,213,318.17999648
4065,3,75,317.8200016
4064,3,79,317.6400032
4063,3,15,317.36999511
4062,1,145,317.34999467
4061,2,12,317.059995646
4060,1,195,316.95000262
4059,1,126,316.73000526
4058,2,176,316.65999985
4057,2,209,316.65000151
4056,2,211,316.54999732
4055,3,149,316.46000672
4054,1,77,316.26999856
4053,2,215,316.109997265
4052,3,55,315.70999527
4051,1,241,315.6400146
4050,1,207,315.44000053
4049,2,106,314.89999676
4048,2,110,314.42999651
4047,1,68,314.09999942
4046,2,246,314.04999637
4045,1,15,313.88000298
4044,1,275,313.19000054
4043,2,194,312.94000626
4042,1,185,312.69000054
4041,2,125,312.44999885
4040,1,179,312.43999672
4039,2,130,312.16999436
4038,1,248,312.03000251
4037,2,1,311.810004944
4036,4,11,311.569998264
4035,3,110,311.08000376
4034,1,220,311.08000181
4033,2,194,310.37000084
4032,2,196,309.48999882
4031,2,162,308.83999635
4030,5,170,308.780001633
4029,2,4,308.5199957
4028,2,72,308.269999148
4027,3,125,308.09000396
4026,1,331,308.01000604
4025,1,24,306.97999954
4024,1,160,306.30999565
4023,3,179,306.13001252
4022,1,165,306.08999634
4021,1,133,305.67000008
4020,3,67,305.10000037
4019,3,122,304.980002704
4018,4,73,304.37000656
4017,1,200,304.29000663
4016,3,79,303.95000076
4015,2,226,303.77000046
4014,5,3,303.75999736
4013,1,203,303.41000171
4012,4,304,302.070002082
4011,3,62,302.01999855
4010,4,18,301.829999437
4009,1,160,301.769996642
4008,3,60,300.969999314
4007,1,190,300.590002064
4006,2,1,300.42999935
4005,1,9,300.40000152
4004,1,248,300.29000186
4003,1,241,300.26999855
4002,1,166,300.029997702
4001,1,177,299.8099966
4000,1,157,299.79999351
3999,2,206,299.65000343
3998,3,82,299.440002937
3997,1,214,299.25999835
3996,2,1,299.21999739
3995,4,94,298.79000091
3994,1,8,298.27999305
3993,2,189,297.73000145
3992,3,68,297.5700016
3991,5,10,297.46999932
3990,2,62,297.46999742
3989,4,81,297.41000558
3988,1,197,297.32000352
3987,1,8,297.2699976
3986,3,6,296.96999836
3985,5,53,296.64999771
3984,2,193,296.34999847
3983,1,240,296.02999497
3982,2,54,296.010002143
3981,1,143,295.96999739
3980,5,149,295.7199955
3979,1,204,295.70999336
3978,4,88,295.5400009
3977,1,89,295.45999717
3976,1,204,295.27000523
3975,3,2,295.13000488
3974,2,214,295.03000259
3973,4,51,294.72999955
3972,2,158,294.13001061
3971,3,18,293.83000564
3970,1,178,293.40000918
3969,2,211,292.65999412
3968,2,187,292.47000122
3967,8,88,292.259996412
3966,1,204,292.20999526
3965,1,152,291.83000183
3964,5,10,291.64000129
3963,1,211,291.02999487
3962,1,112,290.87000084
3961,2,34,290.86000063
3960,3,133,290.55999753
3959,3,71,290.44999933
3958,1,219,290.12000274
3957,2,298,290.02000237
3956,1,217,289.989995
3955,1,119,289.65999985
3954,4,94,289.519994982
3953,2,86,288.94999886
3952,2,1,288.47999574
3951,1,203,288.3900032
3950,1,230,288.17999652
3949,2,101,287.47000312
3948,1,5,287.36999512
3947,1,203,287.289997696
3946,1,304,287.0799866
3945,2,137,285.87999344
3944,3,70,285.51000024
3943,3,178,285.009999395
3942,5,4,284.980001692
3941,3,4,283.72000123
3940,1,163,283.40999985
3939,1,302,283.17999267
3938,1,255,283.11999512
3937,3,21,283.020002925
3936,1,141,283.0000038
3935,1,201,282.8999939
3934,3,70,282.49999999
3933,3,4,282.46999741
3932,1,38,282.3599968
3931,1,10,282.20999528
3930,3,30,282.129998035
3929,1,30,281.76000214
3928,4,12,281.52000046
3927,1,284,280.78000632
3926,3,85,280.46999741
3925,2,109,280.41999816
3924,1,21,279.41999427
3923,1,325,279.12000657
3922,4,70,279.0300026
3921,1,122,277.849998466
3920,3,12,277.81999969
3919,2,236,277.62999916
3918,1,28,277.33999825
3917,2,224,277.14999677
3916,1,320,277.100004193
3915,1,222,276.92000389
3914,3,33,276.7499981
3913,2,186,276.599997166
3912,1,222,276.53999706
3911,3,94,276.23000242
3910,4,118,276.210001483
3909,1,190,276.06999776
3908,1,217,275.719997393
3907,1,283,275.37999724
3906,4,13,275.32999802
3905,2,107,275.12999631
3904,4,114,275.11999606
3903,1,330,275.03000068
3902,1,248,274.27999877
3901,1,307,273.86999131
3900,1,74,272.71000098
3899,1,193,272.53000068
3898,1,187,272.13000107
3897,1,270,272.10999298
3896,1,78,271.919999587
3895,2,178,271.849997036
3894,1,223,271.61000062
3893,2,120,271.55000114
3892,1,227,271.23000336
3891,1,243,271.09000397
3890,1,188,271.08999634
3889,1,243,270.95999908
3888,3,146,270.54999733
3887,1,120,270.48999789
3886,3,72,270.08999826
3885,1,68,269.710000983
3884,1,185,269.589996817
3883,3,81,269.34000015
3882,2,5,269.20000458
3881,1,229,269.00999832
3880,1,52,268.910003248
3879,2,142,268.77999973
3878,2,62,268.12000275
3877,7,52,267.789999243
3876,3,192,267.719998354
3875,1,365,267.500001198
3874,1,100,267.42999839
3873,3,20,266.98999978
3872,1,206,266.93000031
3871,1,145,266.59999084
3870,1,241,266.15999602
3869,3,13,265.47999577
3868,2,24,265.22999383
3867,1,251,265.02999969
3866,3,88,265.01000213
3865,1,241,264.8500061
3864,2,69,264.56999971
3863,1,91,264.49999236
3862,2,161,264.42999649
3861,1,61,264.41999817
3860,1,171,264.38000202
3859,1,180,264.07999801
3858,1,341,263.94999694
3857,1,283,263.31000138
3856,2,7,263.22000123
3855,1,178,263.040002346
3854,1,211,262.979999257
3853,3,13,262.96000003
3852,1,56,262.44000244
3851,2,139,262.42000009
3850,1,31,262.340000141
3849,2,87,262.290001873
3848,2,261,262.24999238
3847,2,80,261.80000305
3846,1,180,261.68000031
3845,1,241,261.24000167
3844,1,211,261.059999466
3843,1,143,261.00999832
3842,1,101,259.63000298
3841,2,69,259.60000419
3840,3,77,259.55000114
3839,1,134,259.29000464
3838,1,325,259.11000061
3837,1,190,258.97999573
3836,3,133,258.96000292
3835,1,176,258.77000426
3834,2,120,258.71000289
3833,1,105,258.67000573
3832,1,73,257.86999893
3831,1,25,257.79999542
3830,3,150,257.419998416
3829,2,86,257.24000168
3828,3,148,256.66999817
3827,1,360,256.62999535
3826,2,179,256.31999779
3825,1,56,256.15999222
3824,3,121,256.09000206
3823,2,223,256.06000137
3822,3,155,255.970001237
3821,3,10,255.90999603
3820,1,133,255.569999966
3819,2,39,255.39999389
3818,1,79,255.34000015
3817,2,177,255.27000047
3816,2,248,254.84000396
3815,1,202,254.61000061
3814,2,93,254.39000129
3813,4,16,254.350006815
3812,3,181,254.07999992
3811,1,144,253.86999894
3810,1,205,253.830001345
3809,2,151,253.76999855
3808,1,225,253.75000382
3807,1,260,253.52999878
3806,1,50,253.42999649
3805,4,2,253.26999284
3804,1,323,253.14999962
3803,9,146,252.929994935
3802,1,289,252.80000495
3801,1,35,252.800001141
3800,1,244,252.22999762
3799,1,189,252.190000549
3798,3,60,252.14999962
3797,2,247,252.09000014
3796,1,131,251.86999894
3795,2,157,251.79999351
3794,1,139,251.12000274
3793,1,60,251.08999252
3792,1,132,251.04999923
3791,2,144,250.789999
3790,1,352,250.39999771
3789,2,312,250.24999619
3788,1,248,250.129999167
3787,2,170,249.78999901
3786,1,316,249.6499958
3785,2,152,249.51999474
3784,1,83,248.58999634
3783,2,102,248.30999947
3782,1,302,248.00000191
